uj,t,value
1,1,560.4050000000001
2,1,2266.7
3,1,2979.7702449491508
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,15677.92439791085
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,0.0
2,2,9706.299997999999
3,2,10512.5
4,2,1897.6098710164479
5,2,0.0
6,2,15302.774279387078
7,2,15723.9083326
8,2,22089.866665199996
9,2,0.0
10,2,15457.740138696478
1,3,25457.999324641532
2,3,29896.4
3,3,30971.200000000004
4,3,0.0
5,3,3078.8239519593903
6,3,58309.6
7,3,2506.298683304609
8,3,42524.30504760616
9,3,106266.70000000001
10,3,523.1229924882937
1,4,3260.7
2,4,0.0
3,4,0.0
4,4,0.0
5,4,5508.2
6,4,6144.2
7,4,971.9418055522927
8,4,0.0
9,4,11218.1
10,4,4412.4456944477015
