i,j,l,t,value
1,1,1,1,0.0
2,1,1,1,0.0
1,2,1,1,0.0
2,2,1,1,0.0
1,3,1,1,0.0
2,3,1,1,0.0
1,4,1,1,0.0
2,4,1,1,0.0
1,1,2,1,0.0
2,1,2,1,0.0
1,2,2,1,0.0
2,2,2,1,0.0
1,3,2,1,0.0
2,3,2,1,0.0
1,4,2,1,0.0
2,4,2,1,0.0
1,1,3,1,0.0
2,1,3,1,0.0
1,2,3,1,0.0
2,2,3,1,0.0
1,3,3,1,0.0
2,3,3,1,0.0
1,4,3,1,0.0
2,4,3,1,0.0
1,1,4,1,1857.2069288673224
2,1,4,1,0.0
1,2,4,1,4275.87999364095
2,2,4,1,0.0
1,3,4,1,0.0
2,3,4,1,0.0
1,4,4,1,6622.825491192877
2,4,4,1,0.0
1,1,1,2,0.0
2,1,1,2,0.0
1,2,1,2,0.0
2,2,1,2,0.0
1,3,1,2,0.0
2,3,1,2,0.0
1,4,1,2,0.0
2,4,1,2,0.0
1,1,2,2,0.0
2,1,2,2,0.0
1,2,2,2,0.0
2,2,2,2,0.0
1,3,2,2,0.0
2,3,2,2,0.0
1,4,2,2,0.0
2,4,2,2,0.0
1,1,3,2,0.0
2,1,3,2,0.0
1,2,3,2,0.0
2,2,3,2,0.0
1,3,3,2,0.0
2,3,3,2,0.0
1,4,3,2,0.0
2,4,3,2,0.0
1,1,4,2,1711.935819884261
2,1,4,2,0.0
1,2,4,2,3737.736161053023
2,2,4,2,0.0
1,3,4,2,0.0
2,3,4,2,0.0
1,4,4,2,7306.240432763843
2,4,4,2,0.0
